SER1_AE,SER2_AE
0.352017,0.258007
0.256803,0.185963
0.175288,0.123958
0.110508,0.076593
0.066195,0.044611
0.038423,0.024974
0.022326,0.01408
0.013273,0.008279
0.008087,0.005101
0.005186,0.003462
0.003522,0.002548
